restaurant_name,avg_rating,avg_del_time,total_orders,avg_cost,perf_score
'wichcraft,5.0,28.0,1,8.1,49.7
12 Chairs,4.75,27.75,4,22.142500000000002,45.6
5 Napkin Burger,4.6,24.4,5,15.968,49.2
67 Burger,5.0,28.0,1,29.05,49.7
Alidoro,5.0,22.0,1,12.61,61.4
Amma,4.75,21.5,4,19.1725,57.7
Amy Ruth's,4.333333333333333,29.333333333333332,3,11.906666666666666,34.0
Anjappar Chettinad,5.0,26.0,1,16.44,53.6
Asuka Sushi,5.0,27.666666666666668,3,21.666666666666668,50.6
Aurora,5.0,22.0,2,14.335,61.5
Balade,5.0,24.0,1,9.22,57.5
Balthazar Boulangerie,4.6,25.6,10,18.701,47.4
Barbounia,4.666666666666667,23.5,6,12.491666666666667,52.4
Bareburger,4.407407407407407,24.555555555555557,27,14.805185185185186,47.5
Benihana,4.8,24.4,5,21.088,53.2
Bhatti Indian Grill,5.0,22.5,2,31.115,60.5
Big Daddy's,5.0,19.0,2,13.46,67.3
Big Wong Restaurant _¤¾Ñ¼,5.0,28.0,1,5.92,49.7
Bistango,5.0,20.0,2,23.04,65.4
Blue Ribbon Brooklyn,3.75,23.5,4,16.53,33.8
Blue Ribbon Fried Chicken,4.552083333333333,24.145833333333332,96,17.315520833333334,59.2
Blue Ribbon Sushi,4.5210084033613445,23.941176470588236,119,15.999579831932774,61.6
Blue Ribbon Sushi Bar & Grill,4.795454545454546,23.40909090909091,44,15.150454545454545,59.5
Blue Ribbon Sushi Izakaya,4.586206896551724,23.482758620689655,29,16.727241379310346,53.4
Boqueria,4.888888888888889,24.666666666666668,9,18.852222222222224,54.9
Bubby's,4.666666666666667,25.0,3,19.726666666666667,49.1
Bukhara Grill,5.0,21.5,2,11.86,62.5
Burger Joint,4.5,23.083333333333332,12,12.8925,50.5
Byblos Restaurant,4.0,18.0,2,24.735,49.3
Cafe Habana,4.5,25.5625,16,13.581875,46.2
Cafe Mogador,4.388888888888889,22.944444444444443,18,18.317777777777778,49.3
Cafe de La Esquina,5.0,21.0,1,16.06,63.3
